actdely_dt,omstracknum,ordnum,origin_zip,dest_zip,shipnode,channel,carrier_scac,reqship_dt,sysship_dttm,sysship_dt,estdely_dt,actdely_month,estdely_week,delivered_late,xcpnscan1_desc,xcpnscan2_desc,xcpnscan3_desc,xcpnscan4_desc,planned_transit,carrier_pub_tnt,units,transit_override,carrier_xcp,guest_xcp,holiday_xcp,weather_xcp,uncontrol_xcp,order_dttm,late_ship_business,node_on_time_ship,ots_rsd,post_release_inf,node_mnr,carrier_not_meet_tnt,carrier_defect,origin_defect,system_defect,uncontrollable_defect,dpo_delivered_late
2019-02-03,1Z2E24F1YW37836926,1022331943153,17408,60126,9475,FC 9475,UPSN,2019-01-30,2019-01-29 20:25,2019-01-29,2019-02-06,2019/01,201901,N, , , , ,3.0,3.0,3.0,N,N,N,N,N,N,2019-01-29,N,NULL,0,0,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420100169261290982827026490071,9250073345592,07047,10016,STR1865,STR,USPS,2019-02-01,2019-02-01 15:51,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420100259261290982827019489617,3550521247344,07047,10025,STR1865,STR,USPS,2019-02-02,2019-02-02 12:08,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,N,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420100269261290982827013614626,9050522892943,07047,10026,STR1865,STR,USPS,2019-02-02,2019-02-02 13:21,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,3.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420100289261290203606120962697,1050507158738,10451,10028,STR2475,STR,USPS,2019-02-01,2019-01-31 17:22,2019-01-31,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,N,NULL,0,0,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420100319261290203606117430789,9050500336068,10451,10031,STR2475,STR,USPS,2019-02-01,2019-01-31 21:07,2019-01-31,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-29,N,NULL,1,1,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420100659261290203606112330947,1050520783130,10451,10065,STR2475,STR,USPS,2019-02-02,2019-02-01 10:59,2019-02-01,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,7.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,Node: Manifested - not received,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420105389261290982830516198944,9250521424633,10977,10538,STR1808,STR,USPS,2019-02-02,2019-02-02 14:51,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420191439274890982839321335236,9050514159824,19150,19143,STR2527,STR,USPS,2019-02-01,2019-02-01 16:10,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420208329261290203606325572608,9050150682786,20878,20832,STR1193,STR,USPS,2019-02-01,2019-02-01 15:09,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420212049261290982832924985475,9150449357763,21224,21204,STR2845,STR,USPS,2019-02-03,2019-02-02 13:49,2019-02-02,2019-02-06,2019/01,201901,N, , , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-02-01,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420229019274890982832118308895,9150508923449,23231,22901,STR2436,STR,USPS,2019-02-01,2019-02-01 12:55,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420478859261290982836615188343,41400000013455297,46143,47885,STR1364,STR,USPS,2019-02-01,2019-02-01 09:53,2019-02-01,2019-02-07,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420532129261290982840617785813,9250445999196,53132,53212,STR2388,STR,USPS,2019-01-26,2019-01-26 18:27,2019-01-26,2019-01-29,2019/01,201852,Y,DELIVERY ATTEMPTED NO ACCESS TO DELIVERY LOCATION, , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-01-25,Y,Node: On Time Ship,0,0,NULL,Carrier Did not meet TNT,carrier,origin,NULL,NULL,Y
