store,store_group,state,region,carrier
3.0,199.0,MN,Midwest,UPS
5.0,199.0,MN,Midwest,FedEx/UPS
12.0,194.0,MO,Midwest,UPS
13.0,391.0,TX,West,UPS
19.0,194.0,OK,Midwest,UPS
26.0,194.0,MO,Midwest,UPS
43.0,391.0,OK,West,UPS
48.0,197.0,CO,Midwest,UPS
52.0,199.0,MN,Midwest,FedEx
52.0,199.0,MN,Midwest,FedEx
68.0,199.0,MN,Midwest,UPS
69.0,196.0,IA,Midwest,UPS
75.0,392.0,TX,West,UPS
78.0,194.0,IL,Midwest,UPS
79.0,197.0,CO,Midwest,FedEx
80.0,391.0,TX,West,UPS
82.0,196.0,WI,Midwest,FedEx
83.0,391.0,TX,West,UPS
85.0,197.0,ND,Midwest,UPS
86.0,196.0,IA,Midwest,UPS
90.0,394.0,TN,Midwest,FedEx/UPS
93.0,197.0,CO,Midwest,UPS
95.0,391.0,TX,West,UPS
96.0,391.0,TX,West,UPS
100.0,199.0,MN,Midwest,UPS
108.0,190.0,IN,Midwest,UPS
111.0,190.0,IN,Midwest,UPS
137.0,194.0,IL,Midwest,UPS
139.0,190.0,IN,Midwest,UPS
151.0,395.0,TN,East,FedEx/UPS
152.0,196.0,WI,Midwest,UPS
154.0,197.0,CO,Midwest,UPS
158.0,392.0,TX,West,UPS
162.0,194.0,AR,Midwest,UPS
164.0,197.0,WY,Midwest,FedEx
167.0,392.0,LA,West,UPS
176.0,392.0,TX,West,UPS
184.0,292.0,CA,West,UPS/OnTrac
188.0,292.0,CA,West,UPS
190.0,292.0,CA,West,UPS
193.0,296.0,CA,West,UPS
195.0,296.0,CA,West,UPS
198.0,294.0,CA,West,UPS
201.0,296.0,CA,West,FedEx
203.0,296.0,CA,West,UPS
205.0,296.0,CA,West,UPS
212.0,292.0,CA,West,UPS
215.0,199.0,MN,Midwest,UPS
217.0,194.0,NE,Midwest,UPS
219.0,391.0,TX,West,UPS
